class_id,class_name,category,graph_name,node_name,middle_name,graph_coord,pair_key,node_alias,skill_internal,paramdata,tooltip_key,tooltip_uuid,skill_name_EN,skill_name_ZH,source,status
254,Vex,action_modifier,Progress_DarkSiren_ActionSkill_Modifiers_PhaseAvatar,Desecration,Desecration,,pair4044920886,Desecration,SkillDef_DarkSiren_ActionSkill_PhaseAvatar,SkillParam_DarkSiren_PhaseAvatar_Cap_1.SkillParam_DarkSiren_PhaseAvatar_Cap_1,tooltip_darksiren_actionskill_phaseavatar_capstone_phasegeist,6349BED94565B3B20BC36CBA416F3E46,Desecration,神圣亵渎,alias_match,tooltip
254,Vex,action_modifier,Progress_DarkSiren_ActionSkill_Modifiers_PhaseAvatar,Energy Vampire,Energy Vampire,,pair455943371,Energy Vampire,SkillDef_DarkSiren_ActionSkill_PhaseAvatar,SkillParam_DarkSiren_PhaseAvatar_Aug_5.SkillParam_DarkSiren_PhaseAvatar_Aug_5,tooltip_darksiren_actionskill_phaseavatar_augment_flux,D4BE263344DD4CD4DD7C9FB7D4B5957C,Energy Vampire,能量吸血鬼,alias_match,tooltip
254,Vex,action_modifier,Progress_DarkSiren_ActionSkill_Modifiers_PhaseAvatar,Geistwave,Geistwave,,pair217450736,Geistwave,SkillDef_DarkSiren_ActionSkill_PhaseAvatar,SkillParam_DarkSiren_PhaseAvatar_Aug_2.SkillParam_DarkSiren_PhaseAvatar_Aug_2,tooltip_darksiren_actionskill_phaseavatar_augment_geistwave,BFABBD844F237055A76A92B2EB7571F1,Geistwave,精神浪潮,alias_match,tooltip
254,Vex,action_modifier,Progress_DarkSiren_ActionSkill_Modifiers_PhaseAvatar,Heartpiercer,Heartpiercer,,pair1631222928,Heartpiercer,SkillDef_DarkSiren_ActionSkill_PhaseAvatar,SkillParam_DarkSiren_PhaseAvatar_Cap_3.SkillParam_DarkSiren_PhaseAvatar_Cap_3,tooltip_darksiren_actionskill_phaseavatar_capstone_necrophase,4553C8D04417DD1E9712C0A1A9E48627,Heartpiercer,穿心者,alias_match,tooltip
254,Vex,action_modifier,Progress_DarkSiren_ActionSkill_Modifiers_PhaseAvatar,Iron Maiden,Iron Maiden,,pair2945127574,Iron Maiden,SkillDef_DarkSiren_ActionSkill_PhaseAvatar,SkillParam_DarkSiren_PhaseAvatar_Aug_3.SkillParam_DarkSiren_PhaseAvatar_Aug_3,tooltip_darksiren_actionskill_phaseavatar_augment_spiritarmor,5A2D7E1B4CD8B4A7C6B176975A93CDEC,Iron Maiden,铁娘子,alias_match,tooltip
254,Vex,action_modifier,Progress_DarkSiren_ActionSkill_Modifiers_PhaseAvatar,Phase Reap,Phase Reap,,pair3092265133,Phase Reap,SkillDef_DarkSiren_ActionSkill_PhaseAvatar,SkillParam_DarkSiren_PhaseAvatar_Aug_4.SkillParam_DarkSiren_PhaseAvatar_Aug_4,,,Phase Reap,,fallback,alias_fallback
254,Vex,action_modifier,Progress_DarkSiren_ActionSkill_Modifiers_PhaseAvatar,Vibe Check,Vibe Check,,pair3259457782,Vibe Check,SkillDef_DarkSiren_ActionSkill_PhaseAvatar,SkillParam_DarkSiren_PhaseAvatar_Cap_2.SkillParam_DarkSiren_PhaseAvatar_Cap_2,tooltip_darksiren_actionskill_phaseavatar_capstone_resonance,C703D79F4DD68546575C1EB33C292567,Vibe Check,感受调查,alias_match,tooltip
254,Vex,action_modifier,Progress_DarkSiren_ActionSkill_Modifiers_PhaseAvatar,Witchy Trigger Finger,Witchy Trigger Finger,,pair1068101680,Witchy Trigger Finger,SkillDef_DarkSiren_ActionSkill_PhaseAvatar,SkillParam_DarkSiren_PhaseAvatar_Aug_1.SkillParam_DarkSiren_PhaseAvatar_Aug_1,tooltip_darksiren_actionskill_phaseavatar_augment_warlockandload,FBA2DAAB4D7A56B75F61E8B1480FB224,Witchy Trigger Finger,巫术扳机指,alias_match,tooltip
254,Vex,action_modifier,Progress_DarkSiren_ActionSkill_Modifiers_PhaseFamiliar,Apex Beast,Apex Beast,,pair1631222928,Apex Beast,SkillDef_DarkSiren_ActionSkill_PhaseFamiliar,SkillParam_DarkSiren_PhaseFamiliar_Cap_3.SkillParam_DarkSiren_PhaseFamiliar_Cap_3,,,Apex Beast,,fallback,alias_fallback
254,Vex,action_modifier,Progress_DarkSiren_ActionSkill_Modifiers_PhaseFamiliar,Armored Beast,Armored Beast,,pair4044920886,Armored Beast,SkillDef_DarkSiren_ActionSkill_PhaseFamiliar,SkillParam_DarkSiren_PhaseFamiliar_Cap_1.SkillParam_DarkSiren_PhaseFamiliar_Cap_1,,,Armored Beast,,fallback,alias_fallback
254,Vex,action_modifier,Progress_DarkSiren_ActionSkill_Modifiers_PhaseFamiliar,Beast Mode,Beast Mode,,pair455943371,Beast Mode,SkillDef_DarkSiren_ActionSkill_PhaseFamiliar,SkillParam_DarkSiren_PhaseFamiliar_Aug_5.SkillParam_DarkSiren_PhaseFamiliar_Aug_5,tooltip_darksiren_actionskill_phasefamiliar_augment_beastmode,9A43593D456DBE8D5EA557BA0513FEE4,Beast Mode,猛兽模式,alias_match,tooltip
254,Vex,action_modifier,Progress_DarkSiren_ActionSkill_Modifiers_PhaseFamiliar,Blinkstrike,Blinkstrike,,pair217450736,Blinkstrike,SkillDef_DarkSiren_ActionSkill_PhaseFamiliar,SkillParam_DarkSiren_PhaseFamiliar_Aug_2.SkillParam_DarkSiren_PhaseFamiliar_Aug_2,tooltip_darksiren_actionskill_phasefamiliar_augment_blinkstrike,5A89A70643751D566FA62DAE1D4E697E,Blink Strike,闪烁打击,alias_match,tooltip
254,Vex,action_modifier,Progress_DarkSiren_ActionSkill_Modifiers_PhaseFamiliar,Charge Mode,Charge Mode,,pair2945127574,Charge Mode,SkillDef_DarkSiren_ActionSkill_PhaseFamiliar,SkillParam_DarkSiren_PhaseFamiliar_Aug_3.SkillParam_DarkSiren_PhaseFamiliar_Aug_3,,,Charge Mode,,fallback,alias_fallback
254,Vex,action_modifier,Progress_DarkSiren_ActionSkill_Modifiers_PhaseFamiliar,Critical Mode,Critical Mode,,pair3092265133,Critical Mode,SkillDef_DarkSiren_ActionSkill_PhaseFamiliar,SkillParam_DarkSiren_PhaseFamiliar_Aug_4.SkillParam_DarkSiren_PhaseFamiliar_Aug_4,,,Critical Mode,,fallback,alias_fallback
254,Vex,action_modifier,Progress_DarkSiren_ActionSkill_Modifiers_PhaseFamiliar,Double Trouble,Double Trouble,,pair3259457782,Double Trouble,SkillDef_DarkSiren_ActionSkill_PhaseFamiliar,SkillParam_DarkSiren_PhaseFamiliar_Cap_2.SkillParam_DarkSiren_PhaseFamiliar_Cap_2,tooltip_darksiren_actionskill_phasefamiliar_capstone_illusorybeast,493805F54417CFB419BBC48798270CE3,Double Trouble,双重麻烦,alias_match,tooltip
254,Vex,action_modifier,Progress_DarkSiren_ActionSkill_Modifiers_PhaseFamiliar,Outburst,Outburst,,pair1068101680,Outburst,SkillDef_DarkSiren_ActionSkill_PhaseFamiliar,SkillParam_DarkSiren_PhaseFamiliar_Aug_1.SkillParam_DarkSiren_PhaseFamiliar_Aug_1,,,Outburst,,fallback,alias_fallback
254,Vex,action_modifier,Progress_DarkSiren_ActionSkill_Modifiers_PhaseShard,Banshee Wail,Banshee Wail,,pair455943371,Banshee Wail,SkillDef_DarkSiren_ActionSkill_PhaseShard,SkillParam_DarkSiren_PhaseShard_Aug_5.SkillParam_DarkSiren_PhaseShard_Aug_5,,,Banshee Wail,,fallback,alias_fallback
254,Vex,action_modifier,Progress_DarkSiren_ActionSkill_Modifiers_PhaseShard,Ghastblaster,Ghastblaster,,pair1068101680,Ghastblaster,SkillDef_DarkSiren_ActionSkill_PhaseShard,SkillParam_DarkSiren_PhaseShard_Aug_1.SkillParam_DarkSiren_PhaseShard_Aug_1,tooltip_darksiren_actionskill_phaseshard_augment_spectralblast,AD9EA702408E4955E7E1AFAD3159D33F,Ghast Blaster,恶灵爆冲,alias_match,tooltip
254,Vex,action_modifier,Progress_DarkSiren_ActionSkill_Modifiers_PhaseShard,Grim Reaper,Grim Reaper,,pair3259457782,Grim Reaper,SkillDef_DarkSiren_ActionSkill_PhaseShard,SkillParam_DarkSiren_PhaseShard_Cap_2.SkillParam_DarkSiren_PhaseShard_Cap_2,tooltip_darksiren_actionskill_phaseshard_capstone_grimreaper,C4A05BFC4249D597505CD5ADB1701B4F,Grim Reaper,镰刀死神,alias_match,tooltip
254,Vex,action_modifier,Progress_DarkSiren_ActionSkill_Modifiers_PhaseShard,Heirloom,Heirloom,,pair4044920886,Heirloom,SkillDef_DarkSiren_ActionSkill_PhaseShard,SkillParam_DarkSiren_PhaseShard_Cap_1.SkillParam_DarkSiren_PhaseShard_Cap_1,tooltip_darksiren_actionskill_phaseshard_capstone_spectralarmory,A062F80748F8AB29E49A0FBE3CBC7A5F,Heirloom,传家之宝,alias_match,tooltip
254,Vex,action_modifier,Progress_DarkSiren_ActionSkill_Modifiers_PhaseShard,Hellish Harvest,Hellish Harvest,,pair3092265133,Hellish Harvest,SkillDef_DarkSiren_ActionSkill_PhaseShard,SkillParam_DarkSiren_PhaseShard_Aug_4.SkillParam_DarkSiren_PhaseShard_Aug_4,tooltip_darksiren_actionskill_phaseshard_augment_demoniccleave,1ECA8D8E4889E2CBFA507E8473DE6ED0,Hellish Harvest,地狱收割,alias_match,tooltip
254,Vex,action_modifier,Progress_DarkSiren_ActionSkill_Modifiers_PhaseShard,Medium Armor,Medium Armor,,pair217450736,Medium Armor,SkillDef_DarkSiren_ActionSkill_PhaseShard,SkillParam_DarkSiren_PhaseShard_Aug_2.SkillParam_DarkSiren_PhaseShard_Aug_2,,,Medium Armor,,fallback,alias_fallback
