Repkit_perk_main_ID,Part_ID,Part_type,Stat_ZH,Stat_EN,Description_ZH,Description_EN
243,21,Perk,,,,
243,22,Resistance,,,,
243,23,Resistance,,,,
243,24,Resistance,,,,
243,25,Resistance,,,,
243,26,Resistance,,,,
243,27,Immunity,,,,
243,28,Immunity,,,,
243,29,Immunity,,,,
243,30,Immunity,,,,
243,31,Immunity,,,,
243,32,Perk,,,,
243,33,Perk,,,,
243,34,Perk,,,,
243,35,Perk,,,,
243,36,Perk,,,,
243,37,Perk,,,,
243,38,Perk,,,,
243,39,Perk,,,,
243,40,Perk,,,,
243,41,Perk,,,,
243,42,Immunity,,,,
243,43,Immunity,,,,
243,44,Immunity,,,,
243,45,Immunity,,,,
243,46,Immunity,,,,
243,47,Resistance,,,,
243,48,Resistance,,,,
243,49,Resistance,,,,
243,50,Resistance,,,,
243,51,Resistance,,,,
243,52,Perk,,,,
243,54,Perk,,,,
243,56,Perk,,,,
243,57,Perk,,,,
243,58,Perk,,,,
243,59,Perk,,,,
243,60,Perk,,,,
243,61,Perk,,,,
243,62,Perk,,,,
243,63,Perk,,,,
243,64,Perk,,,,
243,65,Perk,,,,
243,67,Perk,,,,
243,68,Perk,,,,
243,69,Perk,,,,
243,70,Perk,,,,
243,71,Perk,,,,
243,73,Perk,,,,
243,74,Perk,,,,
243,75,Perk,,,,
243,77,Perk,,,,
243,79,Perk,,,,
243,80,Perk,,,,
243,81,Perk,,,,
243,82,Perk,,,,
243,83,Perk,,,,
243,84,Perk,,,,
243,85,Perk,,,,
243,86,Perk,,,,
243,87,Perk,,,,
243,88,Perk,,,,
243,90,Perk,,,,
243,91,Perk,,,,
243,92,Perk,,,,
243,93,Perk,,,,
243,94,Perk,,,,
243,96,Perk,,,,
243,97,Perk,,,,
243,103,Perfix,,,,
243,104,Perfix,,,,
243,105,Perfix,,,,
243,106,Perfix,,,,
243,115,Perk,,,,
243,116,Perk,,,,
243,117,Perk,,,,
243,118,Perk,,,,
243,119,Perk,,,,
